epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8557,1.96537,3.90401,1.88533,0.72318,0.1659,0.1811,0.06053,1.80256,4.07238,1.96014,0.000415135,0.000415135,0.000415135
2,40.3398,1.9084,3.50906,1.90804,0.40852,0.21351,0.17673,0.06284,1.88089,4.06659,2.02334,0.000824939,0.000824939,0.000824939
3,58.6676,1.97432,3.33654,1.96061,0.77123,0.20549,0.21989,0.08035,1.85709,4.06801,1.9797,0.00122787,0.00122787,0.00122787
4,77.7943,2.02826,3.18623,1.96805,0.43011,0.28589,0.18066,0.06646,1.9228,4.07802,2.02565,0.00121906,0.00121906,0.00121906
5,96.1297,2.03425,3.21765,1.98596,0.8217,0.15574,0.21121,0.07529,1.98685,3.84194,2.08499,0.00120875,0.00120875,0.00120875
6,114.823,1.98673,3.45806,1.93315,0.71214,0.18724,0.18006,0.06557,1.94302,3.19546,2.03182,0.00119844,0.00119844,0.00119844
7,133.336,1.93509,3.18266,1.91622,0.68814,0.20568,0.19753,0.06916,1.93989,3.56334,2.01261,0.00118812,0.00118812,0.00118812
8,152.37,1.96796,2.73579,1.93329,0.86626,0.17841,0.28772,0.09878,1.87126,3.20203,1.97457,0.00117781,0.00117781,0.00117781
9,170.608,1.88645,2.94874,1.87914,0.68336,0.23089,0.20123,0.08067,1.83545,2.48958,1.96334,0.0011675,0.0011675,0.0011675
10,189.195,1.86419,2.70054,1.88478,0.7436,0.25988,0.30505,0.11768,1.8583,2.70911,2.01281,0.00115719,0.00115719,0.00115719
11,207.684,1.86308,2.73498,1.87193,0.81817,0.23832,0.27261,0.0929,1.83181,2.31515,1.94971,0.00114688,0.00114688,0.00114688
12,226.209,1.91153,2.44952,1.91548,0.80988,0.25149,0.2892,0.10349,1.87905,2.27084,2.03578,0.00113656,0.00113656,0.00113656
13,245.019,1.82509,2.33433,1.83362,0.67738,0.2814,0.34362,0.12331,1.81963,2.3243,1.89432,0.00112625,0.00112625,0.00112625
14,263.655,1.81668,2.43427,1.83294,0.56284,0.32376,0.31595,0.11969,1.8659,2.3693,2.05294,0.00111594,0.00111594,0.00111594
15,282.498,1.8145,2.31226,1.84612,0.76162,0.23741,0.26811,0.09751,1.83233,2.25471,1.97658,0.00110563,0.00110563,0.00110563
