epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0101,2.06167,3.10008,1.71564,0.65825,0.19491,0.22512,0.08876,1.95571,3.3527,1.80913,0.000413603,0.000413603,0.000413603
2,22.5694,1.94009,2.36638,1.67929,0.24582,0.33832,0.23227,0.08911,2.03779,5.25853,1.94807,0.00082205,0.00082205,0.00082205
3,32.4366,1.95297,2.38414,1.70266,0.49474,0.32719,0.24836,0.09269,2.12944,2.8387,1.97943,0.00122225,0.00122225,0.00122225
4,42.4856,1.96622,2.2055,1.69476,0.81845,0.20884,0.24911,0.0893,2.13415,3.18201,2.03499,0.00121287,0.00121287,0.00121287
5,52.2133,1.92271,2.19963,1.69968,0.61626,0.26264,0.33135,0.12293,2.03985,2.81633,1.91157,0.0012005,0.0012005,0.0012005
6,62.4844,1.93583,2.1575,1.70667,0.5215,0.25547,0.29041,0.10603,2.12757,2.99783,1.98503,0.00118812,0.00118812,0.00118812
7,72.5028,1.89971,2.04184,1.70169,0.53181,0.30763,0.30995,0.11878,2.05221,2.51476,1.92587,0.00117575,0.00117575,0.00117575
8,82.6113,1.84152,1.95175,1.67047,0.55706,0.55015,0.39885,0.15491,2.02047,3.30873,1.95931,0.00116337,0.00116337,0.00116337
9,92.7275,1.87213,1.90421,1.65831,0.56905,0.39851,0.41432,0.15025,2.00148,2.45288,1.86652,0.001151,0.001151,0.001151
10,103.01,1.86267,1.89221,1.6637,0.61795,0.50817,0.42417,0.16751,2.03265,2.80282,1.93078,0.00113863,0.00113863,0.00113863
11,113.193,1.82033,1.93075,1.63061,0.79985,0.27937,0.37677,0.15021,1.88589,3.94152,1.78736,0.00112625,0.00112625,0.00112625
12,122.827,1.83506,1.91212,1.65796,0.56485,0.35854,0.31527,0.12918,1.94192,2.98368,1.82255,0.00111388,0.00111388,0.00111388
13,132.972,1.8081,1.7559,1.63055,0.62292,0.36081,0.40577,0.14931,1.91693,2.65918,1.77268,0.0011015,0.0011015,0.0011015
14,142.869,1.81216,1.81753,1.58959,0.72869,0.36868,0.40718,0.16968,1.8987,2.38535,1.76314,0.00108913,0.00108913,0.00108913
15,152.897,1.80525,1.7038,1.60569,0.57613,0.36459,0.34462,0.15072,1.91692,2.46453,1.7199,0.00107675,0.00107675,0.00107675
16,162.524,1.77744,1.6463,1.58622,0.58162,0.46832,0.50046,0.22032,1.93154,3.98828,1.77137,0.00106437,0.00106437,0.00106437
17,172.513,1.76355,1.76268,1.55788,0.32973,0.63027,0.4301,0.20218,1.88616,2.4126,1.75208,0.001052,0.001052,0.001052
18,182.463,1.74227,1.64466,1.5716,0.72968,0.39593,0.51901,0.26754,1.86878,2.29366,1.69684,0.00103962,0.00103962,0.00103962
19,192.793,1.78179,1.66271,1.56888,0.79194,0.34552,0.45592,0.18823,1.94885,2.47439,1.75754,0.00102725,0.00102725,0.00102725
